#COD_MUNICIPIO_CADMU,NOME_MUNICIPIO,COD_MUNICIPIO_IBGE,COD_UF,NOME_UF,COD_UF_IBGE
36696,LADAINHA,3137007,MG,MINAS GERAIS,31
34760,ANGATUBA,3502200,SP,SÃO PAULO,35
21553,BORBA,1300805,AM,AMAZONAS,13
44963,VISTA ALEGRE DO PRATA,4323606,RS,RIO GRANDE DO SUL,43
28075,CARIRÉ,2303105,CE,CEARÁ,23
50500,JESÚPOLIS,5212055,GO,GOIÁS,52
37578,CARNEIROS,2701803,AL,ALAGOAS,27
8521,ILHA DAS FLORES,2802700,SE,SERGIPE,28
32267,SANTA RITA,2513703,PB,PARAÍBA,25
40273,PRUDENTE DE MORAIS,3153608,MG,MINAS GERAIS,31
1391,SÃO VICENTE,2413003,RN,RIO GRANDE DO NORTE,24
1487,CARMO DO RIO VERDE,5205000,GO,GOIÁS,52
12153,PIATÃ,2924306,BA,BAHIA,29
12067,VIANÓPOLIS,5222005,GO,GOIÁS,52
35381,NOVA IGUAÇU,3303500,RJ,RIO DE JANEIRO,33
21357,POÇO BRANCO,2410108,RN,RIO GRANDE DO NORTE,24
24756,RECIFE,2611606,PE,PERNAMBUCO,26
40682,AUGUSTO CORRÊA,1500909,PA,PARÁ,15
21261,AMPÉRE,4101002,PR,PARANÁ,41
31316,ESPLANADA,2910602,BA,BAHIA,29
54898,LUZINÓPOLIS,1712454,TO,TOCANTINS,17
52120,PORTEIRÃO,5218052,GO,GOIÁS,52
13334,ARAGUAÍNA,1702109,TO,TOCANTINS,17
37664,SÃO BENTO ABADE,3160801,MG,MINAS GERAIS,31
39253,ANORI,1300102,AM,AMAZONAS,13
13138,APORÉ,5201504,GO,GOIÁS,52
52962,CAMPO AZUL,3111150,MG,MINAS GERAIS,31
7467,BARBACENA,3105608,MG,MINAS GERAIS,31
13293,ARRAIAS,1702406,TO,TOCANTINS,17
2668,TEOLÂNDIA,2931608,BA,BAHIA,29
37619,SANTO ANTÔNIO DO AMPARO,3159902,MG,MINAS GERAIS,31
3722,CÓRREGO NOVO,3120003,MG,MINAS GERAIS,31
24275,BARRINHA,3505609,SP,SÃO PAULO,35
41069,ÁGUA BOA,5100201,MT,MATO GROSSO,51
27210,BURITI,2102200,MA,MARANHÃO,21
27306,OURO BRANCO,2408508,RN,RIO GRANDE DO NORTE,24
30173,INCONFIDENTES,3130606,MG,MINAS GERAIS,31
52443,PORTO REAL,3304110,RJ,RIO DE JANEIRO,33
8411,NIOAQUE,5005806,MS,MATO GROSSO DO SUL,50
57046,PARARI,2510659,PB,PARAÍBA,25
52656,LINDOLFO COLLOR,4311627,RS,RIO GRANDE DO SUL,43
1748,SANTO ANASTÁCIO,3547700,SP,SÃO PAULO,35
1731,SANTO EXPEDITO,3548302,SP,SÃO PAULO,35
32810,BANDEIRANTES,5001508,MS,MATO GROSSO DO SUL,50
32298,SÃO BONIFÁCIO,4215901,SC,SANTA CATARINA,42
44451,RIBEIRÃO CASCALHEIRA,5107180,MT,MATO GROSSO,51
45986,UMBURANAS,2932457,BA,BAHIA,29
55385,SÃO FRANCISCO DE ASSIS DO PIAUÍ,2209658,PI,PIAUÍ,22
23805,CARANDAÍ,3113206,MG,MINAS GERAIS,31
57486,BACABEIRA,2101251,MA,MARANHÃO,21
51327,MARITUBA,1504422,PA,PARÁ,15
51028,CARNAUBEIRA DA PENHA,2603926,PE,PERNAMBUCO,26
11484,SERRA NEGRA DO NORTE,2413409,RN,RIO GRANDE DO NORTE,24
17196,DORES DO RIO PRETO,3202009,ES,ESPÍRITO SANTO,32
7814,CANANÉIA,3509908,SP,SÃO PAULO,35
20509,RECREIO,3154101,MG,MINAS GERAIS,31
11549,TEFÉ,1304203,AM,AMAZONAS,13
41571,DENISE,5103452,MT,MATO GROSSO,51
34076,CERQUEIRA CÉSAR,3511409,SP,SÃO PAULO,35
45058,POÇO DAS ANTAS,4314753,RS,RIO GRANDE DO SUL,43
45151,SÃO MIGUEL DAS MISSÕES,4319158,RS,RIO GRANDE DO SUL,43
52168,AMARALINA,5200829,GO,GOIÁS,52
4460,ITABIRINHA,3131802,MG,MINAS GERAIS,31
